#{"t_start": 1758191258.9625442, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.53433
-200.0,200,0.538187
-200.0,200,0.542079
-200.0,200,0.54804
-200.0,200,0.5527
-200.0,200,0.657156
-200.0,200,0.714338
-200.0,200,0.763241
-200.0,200,0.817775
-200.0,200,0.866181
-200.0,200,0.916864
-200.0,200,0.964473
-200.0,200,1.020114
-200.0,200,1.067324
-200.0,200,1.118114
-200.0,200,1.16539
-200.0,200,1.218644
-200.0,200,1.266134
-200.0,200,1.317183
-200.0,200,1.364144
-200.0,200,1.416728
-200.0,200,1.464805
-200.0,200,1.517057
-200.0,200,1.569823
-200.0,200,1.629345
-200.0,200,1.689991
-200.0,200,1.741601
-200.0,200,1.791083
-200.0,200,1.845564
-200.0,200,1.893215
-200.0,200,1.946683
-200.0,200,2.003211
-200.0,200,2.063195
-200.0,200,2.113096
-200.0,200,2.164609
-200.0,200,2.212714
-200.0,200,2.266992
-200.0,200,2.315454
-200.0,200,2.368522
-200.0,200,2.421797
-200.0,200,2.47979
-200.0,200,2.530465
-200.0,200,2.582846
-200.0,200,2.632447
-200.0,200,2.688183
-200.0,200,2.738285
-200.0,200,2.791353
-200.0,200,2.839839
-200.0,200,2.903699
-200.0,200,2.95412
-200.0,200,3.0079
-200.0,200,3.05713
-200.0,200,3.113056
-200.0,200,3.165458
-200.0,200,3.222302
-200.0,200,3.275413
-200.0,200,3.332991
-200.0,200,3.38448
-200.0,200,3.442852
-200.0,200,3.49765
-200.0,200,3.560422
-200.0,200,3.613496
-200.0,200,3.666099
-200.0,200,3.715074
-200.0,200,3.770588
-200.0,200,3.819403
-200.0,200,3.872027
-200.0,200,3.920543
-200.0,200,3.97496
-200.0,200,4.024218
-200.0,200,4.076204
-200.0,200,4.125135
-200.0,200,4.1807
-200.0,200,4.229287
-200.0,200,4.28199
-200.0,200,4.332607
-200.0,200,4.386928
-200.0,200,4.435954
-200.0,200,4.4888
-200.0,200,4.537847
-200.0,200,4.593256
-200.0,200,4.643946
-200.0,200,4.699506
-200.0,200,4.750363
-200.0,200,4.805119
-200.0,200,4.856494
-200.0,200,4.916075
-200.0,200,4.970661
-200.0,200,5.027942
-200.0,200,5.077947
-200.0,200,5.13103
-200.0,200,5.180347
-200.0,200,5.236014
-200.0,200,5.287737
-200.0,200,5.345782
-200.0,200,5.399537
-200.0,200,5.459727
-200.0,200,5.510883
-200.0,200,5.564524
-200.0,200,5.615106
-200.0,200,5.672523
-200.0,200,5.721993
-200.0,200,5.775364
-200.0,200,5.825768
-200.0,200,5.885416
-200.0,200,5.939791
-200.0,200,5.997319
-200.0,200,6.048893
-200.0,200,6.107146
-200.0,200,6.157789
-200.0,200,6.212386
-200.0,200,6.263761
-200.0,200,6.320341
-200.0,200,6.37037
-200.0,200,6.424875
-200.0,200,6.475554
-200.0,200,6.532035
-200.0,200,6.582794
-200.0,200,6.637075
-200.0,200,6.687481
-200.0,200,6.744549
-200.0,200,6.795511
-200.0,200,6.851082
-200.0,200,6.903354
-200.0,200,6.962217
-200.0,200,7.015215
-200.0,200,7.071454
-200.0,200,7.1244
-200.0,200,7.182754
-200.0,200,7.234749
-200.0,200,7.289015
-200.0,200,7.339834
-200.0,200,7.400826
-200.0,200,7.452061
-200.0,200,7.50665
-200.0,200,7.558945
-200.0,200,7.617293
-200.0,200,7.670032
-200.0,200,7.726609
-200.0,200,7.779004
-200.0,200,7.840901
-200.0,200,7.893215
-200.0,200,7.949784
-200.0,200,8.001356
-200.0,200,8.058572
-200.0,200,8.110551
-200.0,200,8.168778
-200.0,200,8.228963
-200.0,200,8.292265
-200.0,200,8.350893
-200.0,200,8.441004
-200.0,200,8.49923
-200.0,200,8.558774
-200.0,200,8.610985
-200.0,200,8.66846
-200.0,200,8.721605
-200.0,200,8.785401
-200.0,200,8.847025
-200.0,200,8.91295
-200.0,200,8.970527
-200.0,200,9.032492
-200.0,200,9.092188
-200.0,200,9.150227
-200.0,200,9.20375
-200.0,200,9.267447
-200.0,200,9.320188
-200.0,200,9.378047
-200.0,200,9.431117
-200.0,200,9.489744
-200.0,200,9.541924
-200.0,200,9.601338
-200.0,200,9.658602
-200.0,200,9.72072
-200.0,200,9.777067
-200.0,200,9.836564
-200.0,200,9.891518
-200.0,200,9.949954
-200.0,200,10.002429
-200.0,200,10.058529
-200.0,200,10.11043
-200.0,200,10.168801
-200.0,200,10.221375
-200.0,200,10.277141
-200.0,200,10.329795
-200.0,200,10.388105
-200.0,200,10.440014
-200.0,200,10.495898
-200.0,200,10.54818
-200.0,200,10.605894
-200.0,200,10.659099
-200.0,200,10.715383
-200.0,200,10.768439
-200.0,200,10.826921
-200.0,200,10.880149
-200.0,200,10.936748
-200.0,200,10.989588
-200.0,200,11.052092
-200.0,200,11.109501
-200.0,200,11.176247
-200.0,200,11.236127
-200.0,200,11.300145
-200.0,200,11.359646
-200.0,200,11.424152
-200.0,200,11.479444
-200.0,200,11.539224
-200.0,200,11.592414
-200.0,200,11.650621
-200.0,200,11.705866
-200.0,200,11.769015
-200.0,200,11.823967
-200.0,200,11.882101
-200.0,200,11.93547
-200.0,200,11.994434
-200.0,200,12.04723
-200.0,200,12.103833
-200.0,200,12.157262
-200.0,200,12.216534
-200.0,200,12.269793
-200.0,200,12.325815
-200.0,200,12.379589
-200.0,200,12.439356
-200.0,200,12.492699
-200.0,200,12.549383
-200.0,200,12.602337
-200.0,200,12.661256
-200.0,200,12.71658
-200.0,200,12.781734
-200.0,200,12.842287
-200.0,200,12.90655
-200.0,200,12.960365
-200.0,200,13.017713
-200.0,200,13.0714
-200.0,200,13.130175
-200.0,200,13.183471
-198.0,198,13.24437
-200.0,200,13.30422
-200.0,200,13.402014
-200.0,200,13.457288
-200.0,200,13.514944
-200.0,200,13.581838
-200.0,200,13.642379
-200.0,200,13.703336
-200.0,200,13.775771
-200.0,200,13.838539
-200.0,200,13.904187
-200.0,200,13.963542
-200.0,200,14.030331
-200.0,200,14.10159
-200.0,200,14.166656
-200.0,200,14.230109
-200.0,200,14.297219
-200.0,200,14.360171
-200.0,200,14.428609
-200.0,200,14.490022
-200.0,200,14.554226
-200.0,200,14.611065
-200.0,200,14.677391
-200.0,200,14.737573
-152.0,152,14.787694
-200.0,200,14.84438
-200.0,200,14.904936
-200.0,200,14.959777
-200.0,200,15.019908
-200.0,200,15.076908
-183.0,183,15.138218
-200.0,200,15.198213
-200.0,200,15.261332
-200.0,200,15.320979
-171.0,171,15.374084
-200.0,200,15.429576
-200.0,200,15.489523
-200.0,200,15.548674
-200.0,200,15.613336
-185.0,185,15.667789
-200.0,200,15.722672
-200.0,200,15.784471
-200.0,200,15.842266
-200.0,200,15.909245
-200.0,200,15.975392
-200.0,200,16.036893
-200.0,200,16.093347
-200.0,200,16.151564
-200.0,200,16.206212
-200.0,200,16.263652
-200.0,200,16.319482
-200.0,200,16.378062
-200.0,200,16.434498
-200.0,200,16.494055
-200.0,200,16.550585
-200.0,200,16.631508
-173.0,173,16.678137
-200.0,200,16.73679
-121.0,121,16.773684
-200.0,200,16.832448
-200.0,200,16.887129
-200.0,200,16.947639
-200.0,200,17.003764
-200.0,200,17.061689
-200.0,200,17.116404
-200.0,200,17.173969
-200.0,200,17.230206
-200.0,200,17.291516
-192.0,192,17.345128
-158.0,158,17.389766
-200.0,200,17.446488
-200.0,200,17.504493
-139.0,139,17.541062
-191.0,191,17.594946
-191.0,191,17.650738
-171.0,171,17.700031
-200.0,200,17.757772
-200.0,200,17.814072
-200.0,200,17.873907
-200.0,200,17.928503
-164.0,164,17.973325
-200.0,200,18.030939
-200.0,200,18.086468
-200.0,200,18.144125
-200.0,200,18.198132
-192.0,192,18.251732
-189.0,189,18.306412
-200.0,200,18.363792
-200.0,200,18.417578
-200.0,200,18.47488
-157.0,157,18.51841
-167.0,167,18.570846
-172.0,172,18.621408
-162.0,162,18.670856
-200.0,200,18.727779
-200.0,200,18.785638
-200.0,200,18.839595
-200.0,200,18.898423
-200.0,200,18.956165
-200.0,200,19.013937
-200.0,200,19.068624
-200.0,200,19.127211
-200.0,200,19.183631
-171.0,171,19.232485
-200.0,200,19.286879
-200.0,200,19.344797
-159.0,159,19.391094
-199.0,199,19.445183
-200.0,200,19.503255
-200.0,200,19.557443
-130.0,130,19.595151
-200.0,200,19.652702
-133.0,133,19.688668
-200.0,200,19.746417
-200.0,200,19.802754
-160.0,160,19.84767
-137.0,137,19.887352
-182.0,182,19.936725
-118.0,118,19.973763
-200.0,200,20.027662
-111.0,111,20.058872
-200.0,200,20.116568
-178.0,178,20.172605
-134.0,134,20.209369
-139.0,139,20.249283
-111.0,111,20.280722
-168.0,168,20.328057
-200.0,200,20.385576
-200.0,200,20.439619
-181.0,181,20.489988
-128.0,128,20.527973
-160.0,160,20.573771
-184.0,184,20.626406
-156.0,156,20.67085
-125.0,125,20.706244
-136.0,136,20.75126
-145.0,145,20.792218
-118.0,118,20.823977
-200.0,200,20.889254
-176.0,176,20.938831
-156.0,156,20.983795
-147.0,147,21.024501
-176.0,176,21.075908
-126.0,126,21.111471
-142.0,142,21.151518
-200.0,200,21.205784
-186.0,186,21.260903
-182.0,182,21.310287
-146.0,146,21.350516
-182.0,182,21.4036
-200.0,200,21.459545
-188.0,188,21.512743
-142.0,142,21.556247
-138.0,138,21.592475
-200.0,200,21.651411
-145.0,145,21.691384
-180.0,180,21.741492
-124.0,124,21.776933
-200.0,200,21.832425
-116.0,116,21.867608
-117.0,117,21.899034
-147.0,147,21.939546
-119.0,119,21.977915
-188.0,188,22.027987
-173.0,173,22.07697
-163.0,163,22.123005
-146.0,146,22.16488
-200.0,200,22.221841
-184.0,184,22.270949
-187.0,187,22.323538
-198.0,198,22.382633
-145.0,145,22.422741
-128.0,128,22.458142
-200.0,200,22.51192
-157.0,157,22.558105
-188.0,188,22.610982
-133.0,133,22.646532
-145.0,145,22.686421
-200.0,200,22.745402
-171.0,171,22.790342
-200.0,200,22.847585
-169.0,169,22.892515
-200.0,200,22.954976
-200.0,200,23.009001
-164.0,164,23.057424
-147.0,147,23.098312
-200.0,200,23.157669
-200.0,200,23.219489
-200.0,200,23.276836
-200.0,200,23.336709
-180.0,180,23.39306
-200.0,200,23.452337
-200.0,200,23.517518
-173.0,173,23.572357
-128.0,128,23.614414
-200.0,200,23.67533
-178.0,178,23.731482
-166.0,166,23.790061
-200.0,200,23.851771
-136.0,136,23.895699
-200.0,200,23.954355
-200.0,200,24.015974
-200.0,200,24.074652
-200.0,200,24.140725
-160.0,160,24.187689
-200.0,200,24.247373
-200.0,200,24.312868
-200.0,200,24.375238
-200.0,200,24.440036
-176.0,176,24.517375
-169.0,169,24.577088
-200.0,200,24.643406
-130.0,130,24.685737
-200.0,200,24.744988
-162.0,162,24.807293
-188.0,188,24.86482
-200.0,200,24.92832
-200.0,200,24.988293
-200.0,200,25.054254
-200.0,200,25.116732
-186.0,186,25.177963
-200.0,200,25.247368
-200.0,200,25.317742
-200.0,200,25.383019
-200.0,200,25.447162
-125.0,125,25.486505
-185.0,185,25.542009
-190.0,190,25.600148
-151.0,151,25.648652
-129.0,129,25.688046
-200.0,200,25.74888
-200.0,200,25.811626
-177.0,177,25.865706
-164.0,164,25.915197
-134.0,134,25.956314
-200.0,200,26.019814
-200.0,200,26.078038
-191.0,191,26.138712
-200.0,200,26.202558
-200.0,200,26.260774
-117.0,117,26.298699
-200.0,200,26.35721
-176.0,176,26.411349
-145.0,145,26.455528
-117.0,117,26.494602
-185.0,185,26.553023
-104.0,104,26.590789
-167.0,167,26.642436
-200.0,200,26.706211
-171.0,171,26.75558
-124.0,124,26.795634
-164.0,164,26.8455
-198.0,198,26.908549
-183.0,183,26.961905
-94.0,94,26.994703
-200.0,200,27.055577
-194.0,194,27.118137
-169.0,169,27.16884
-123.0,123,27.208752
-155.0,155,27.254265
-180.0,180,27.327949
-200.0,200,27.392411
-200.0,200,27.467109
-117.0,117,27.503767
-110.0,110,27.539244
-125.0,125,27.579421
-87.0,87,27.607521
-177.0,177,27.659469
-154.0,154,27.706713
-200.0,200,27.761217
-168.0,168,27.811773
-118.0,118,27.843274
-165.0,165,27.891434
-114.0,114,27.922785
-200.0,200,27.978882
-150.0,150,28.023801
-169.0,169,28.068791
-150.0,150,28.109201
-193.0,193,28.168007
-109.0,109,28.195851
-159.0,159,28.240572
-184.0,184,28.293473
-150.0,150,28.335831
-144.0,144,28.380051
-200.0,200,28.438109
-106.0,106,28.466261
-180.0,180,28.520855
-180.0,180,28.570239
-175.0,175,28.619131
-200.0,200,28.673039
-144.0,144,28.714728
-160.0,160,28.759494
-143.0,143,28.806071
-141.0,141,28.85205
-183.0,183,28.920701
-200.0,200,29.032515
-140.0,140,29.092063
-145.0,145,29.140081
-200.0,200,29.201529
-141.0,141,29.25019
-157.0,157,29.29782
-148.0,148,29.341017
-144.0,144,29.38397
-111.0,111,29.415452
-163.0,163,29.461022
-148.0,148,29.502077
-153.0,153,29.548174
-150.0,150,29.588598
-145.0,145,29.628909
-145.0,145,29.672406
-167.0,167,29.719263
-127.0,127,29.754788
-138.0,138,29.794637
-150.0,150,29.845405
-151.0,151,29.890952
-115.0,115,29.931912
-141.0,141,29.971953
-159.0,159,30.020437
-151.0,151,30.071837
-137.0,137,30.111524
-129.0,129,30.154322
-98.0,98,30.183472
-163.0,163,30.235223
-150.0,150,30.275968
-133.0,133,30.31199
-136.0,136,30.352176
-151.0,151,30.39466
-146.0,146,30.435022
-156.0,156,30.479305
-97.0,97,30.506196
-147.0,147,30.548609
-160.0,160,30.593139
-145.0,145,30.633195
-90.0,90,30.659643
-197.0,197,30.721765
-143.0,143,30.762253
-89.0,89,30.788597
-142.0,142,30.828564
-128.0,128,30.86638
-144.0,144,30.906591
-120.0,120,30.938269
-117.0,117,30.97368
-158.0,158,31.01604
-156.0,156,31.063194
-200.0,200,31.121265
-181.0,181,31.170517
-146.0,146,31.213014
-116.0,116,31.244696
-200.0,200,31.302729
-100.0,100,31.329858
-117.0,117,31.364066
-148.0,148,31.408617
-189.0,189,31.462142
-164.0,164,31.507544
-178.0,178,31.559095
-191.0,191,31.612504
-200.0,200,31.666538
-157.0,157,31.71115
-162.0,162,31.759139
-103.0,103,31.790092
-189.0,189,31.84339
-161.0,161,31.888279
-179.0,179,31.939386
-127.0,127,31.975016
-164.0,164,32.019655
-91.0,91,32.046241
-109.0,109,32.077083
-200.0,200,32.138248
-123.0,123,32.173679
-113.0,113,32.205126
-97.0,97,32.233806
-181.0,181,32.283342
-186.0,186,32.340052
-163.0,163,32.388019
-91.0,91,32.416505
-177.0,177,32.465902
-155.0,155,32.507474
-200.0,200,32.565123
-128.0,128,32.603116
-98.0,98,32.630168
-200.0,200,32.685406
-168.0,168,32.740881
-200.0,200,32.805956
-169.0,169,32.877159
-144.0,144,32.923021
-150.0,150,32.968993
-153.0,153,33.021408
-101.0,101,33.053577
-185.0,185,33.113764
-98.0,98,33.144946
-165.0,165,33.197275
-147.0,147,33.240226
-200.0,200,33.305184
-168.0,168,33.353158
-200.0,200,33.415422
-162.0,162,33.460191
-200.0,200,33.518139
-157.0,157,33.559814
-200.0,200,33.621322
-168.0,168,33.669671
-173.0,173,33.718755
-200.0,200,33.776684
-200.0,200,33.833578
-158.0,158,33.879698
-139.0,139,33.921687
-133.0,133,33.960889
-170.0,170,34.018648
-92.0,92,34.042946
-181.0,181,34.096244
-168.0,168,34.146972
-132.0,132,34.189856
-142.0,142,34.227395
-160.0,160,34.272007
-160.0,160,34.31698
-130.0,130,34.358131
-132.0,132,34.394798
-180.0,180,34.443995
-135.0,135,34.480301
-129.0,129,34.522081
-185.0,185,34.575117
-99.0,99,34.604026
-200.0,200,34.664054
-190.0,190,34.723593
-197.0,197,34.782253
-161.0,161,34.838997
-192.0,192,34.898104
-107.0,107,34.932986
-192.0,192,34.986956
-128.0,128,35.022611
-118.0,118,35.054448
-176.0,176,35.107157
-172.0,172,35.15849
-200.0,200,35.213211
-101.0,101,35.243938
-200.0,200,35.299791
-94.0,94,35.326574
-200.0,200,35.384233
-93.0,93,35.407567
-200.0,200,35.468561
-200.0,200,35.522974
-118.0,118,35.557998
-167.0,167,35.602576
-200.0,200,35.662401
-169.0,169,35.707751
-162.0,162,35.752164
-189.0,189,35.805546
-198.0,198,35.864864
-155.0,155,35.905547
-168.0,168,35.953621
-174.0,174,36.00299
-109.0,109,36.032325
-166.0,166,36.080672
-173.0,173,36.133523
-198.0,198,36.187631
-192.0,192,36.243149
-175.0,175,36.291979
-91.0,91,36.31865
-150.0,150,36.358969
-147.0,147,36.402723
-155.0,155,36.447033
-93.0,93,36.473663
-163.0,163,36.520862
-195.0,195,36.58528
-155.0,155,36.630787
-87.0,87,36.653964
-200.0,200,36.711415
-200.0,200,36.767554
-92.0,92,36.794281
-109.0,109,36.825632
-200.0,200,36.897042
-184.0,184,36.962739
-89.0,89,36.987372
-181.0,181,37.041859
-190.0,190,37.093935
-200.0,200,37.156146
-177.0,177,37.20697
-92.0,92,37.234173
-163.0,163,37.280284
-86.0,86,37.308288
-200.0,200,37.367095
-174.0,174,37.417178
-114.0,114,37.449259
-184.0,184,37.502228
-179.0,179,37.555681
-156.0,156,37.597067
-200.0,200,37.656019
-96.0,96,37.7186
-162.0,162,37.78669
-92.0,92,37.825698
-107.0,107,37.858237
-173.0,173,37.917845
-172.0,172,37.973998
-200.0,200,38.031034
-184.0,184,38.086618
-157.0,157,38.138135
-158.0,158,38.186606
-163.0,163,38.233995
-122.0,122,38.267227
-200.0,200,38.332628
-200.0,200,38.389189
-181.0,181,38.448529
-155.0,155,38.497245
-200.0,200,38.575377
-200.0,200,38.63257
-144.0,144,38.673813
-144.0,144,38.715255
-146.0,146,38.763967
-200.0,200,38.81945
-200.0,200,38.877685
-168.0,168,38.923265
-174.0,174,38.975281
-200.0,200,39.029788
-146.0,146,39.073433
-200.0,200,39.127114
-178.0,178,39.178216
-179.0,179,39.227768
-133.0,133,39.267474
-142.0,142,39.308829
-115.0,115,39.352806
-176.0,176,39.420753
-124.0,124,39.457533
-176.0,176,39.510067
-145.0,145,39.56797
-200.0,200,39.634733
-107.0,107,39.670894
-120.0,120,39.704761
-167.0,167,39.757772
-152.0,152,39.799138
-115.0,115,39.830733
-178.0,178,39.880191
-143.0,143,39.92232
-149.0,149,39.966694
-159.0,159,40.011244
-168.0,168,40.056293
-135.0,135,40.098137
-109.0,109,40.126538
-107.0,107,40.157792
-126.0,126,40.193204
-111.0,111,40.22629
-147.0,147,40.268672
-113.0,113,40.300125
-114.0,114,40.334372
-173.0,173,40.387634
-115.0,115,40.420142
-164.0,164,40.468486
-111.0,111,40.49727
-123.0,123,40.53816
-200.0,200,40.598843
-114.0,114,40.632658
-122.0,122,40.665031
-118.0,118,40.705006
-175.0,175,40.75471
-117.0,117,40.786487
-123.0,123,40.822223
-115.0,115,40.858869
-112.0,112,40.890889
-200.0,200,40.944928
-200.0,200,41.00256
-164.0,164,41.050035
-200.0,200,41.108976
-111.0,111,41.142237
-200.0,200,41.198319
-125.0,125,41.235954
-200.0,200,41.290513
-200.0,200,41.34811
-111.0,111,41.381135
-123.0,123,41.421747
-107.0,107,41.452953
-127.0,127,41.49327
-110.0,110,41.529149
-118.0,118,41.56646
-110.0,110,41.602349
-200.0,200,41.668273
-110.0,110,41.704103
-117.0,117,41.743084
-132.0,132,41.785266
-200.0,200,41.848253
-200.0,200,41.904381
-200.0,200,41.965456
-114.0,114,41.996793
-117.0,117,42.028245
-134.0,134,42.067964
-117.0,117,42.101654
-126.0,126,42.137233
-127.0,127,42.172744
-129.0,129,42.20813
-154.0,154,42.250538
-111.0,111,42.281671
-112.0,112,42.314159
-111.0,111,42.347495
-124.0,124,42.386405
-117.0,117,42.418815
-126.0,126,42.454539
-113.0,113,42.486007
-114.0,114,42.519473
-112.0,112,42.551154
-115.0,115,42.590416
-109.0,109,42.618371
-140.0,140,42.66244
-112.0,112,42.694028
-90.0,90,42.722886
-119.0,119,42.755842
-111.0,111,42.789572
-117.0,117,42.821988
-91.0,91,42.848598
-112.0,112,42.879786
-112.0,112,42.913099
-153.0,153,42.957875
-113.0,113,42.98982
-115.0,115,43.020837
-116.0,116,43.054373
-110.0,110,43.08587
-118.0,118,43.117406
-111.0,111,43.14832
-113.0,113,43.181863
-115.0,115,43.21705
-111.0,111,43.248134
-117.0,117,43.28023
-102.0,102,43.310192
-121.0,121,43.347398
-109.0,109,43.378757
-120.0,120,43.410838
-111.0,111,43.44709
-115.0,115,43.479372
-116.0,116,43.511317
-107.0,107,43.542267
-117.0,117,43.575951
-109.0,109,43.607322
-108.0,108,43.638283
-112.0,112,43.669475
-109.0,109,43.703004
-110.0,110,43.734296
-110.0,110,43.765314
-111.0,111,43.796331
-184.0,184,43.848048
-153.0,153,43.892347
-160.0,160,43.937486
-101.0,101,43.965984
-120.0,120,44.000072
-107.0,107,44.035236
-85.0,85,44.058027
-108.0,108,44.088985
-113.0,113,44.122402
-109.0,109,44.153377
-159.0,159,44.198079
-179.0,179,44.2472
-110.0,110,44.281732
-113.0,113,44.313493
-107.0,107,44.344246
-124.0,124,44.379753
-154.0,154,44.422586
-144.0,144,44.462755
-110.0,110,44.493643
-104.0,104,44.524162
-106.0,106,44.553911
-116.0,116,44.585484
-145.0,145,44.625567
-142.0,142,44.665374
-113.0,113,44.698296
-108.0,108,44.729423
-95.0,95,44.75623
-132.0,132,44.791957
-182.0,182,44.846627
-109.0,109,44.87899
-160.0,160,44.92422
-115.0,115,44.955556
-140.0,140,44.994067
-149.0,149,45.037836
-195.0,195,45.091182
-136.0,136,45.126941
-111.0,111,45.162093
-157.0,157,45.20667
-120.0,120,45.242044
-116.0,116,45.273601
-149.0,149,45.316152
-149.0,149,45.36032
-151.0,151,45.414454
-89.0,89,45.514013
-161.0,161,45.577784
-200.0,200,45.639721
-168.0,168,45.703513
-155.0,155,45.749915
-191.0,191,45.816662
-182.0,182,45.871042
-117.0,117,45.905536
-89.0,89,45.933309
-144.0,144,45.977539
-157.0,157,46.020085
-197.0,197,46.079703
-113.0,113,46.11234
-123.0,123,46.149327
-200.0,200,46.213603
-113.0,113,46.249935
-171.0,171,46.344816
-179.0,179,46.399848
-186.0,186,46.451184
-91.0,91,46.478397
-161.0,161,46.523832
-123.0,123,46.5614
-119.0,119,46.593548
-200.0,200,46.654594
